Key	Press_Time	Relase_Time	Daylight	
shift_r	2021-09-07 10:55:42.276036	2021-09-07 10:55:42.921502	Morning
enter	2021-09-07 10:55:44.103741	2021-09-07 10:55:44.222884	Morning
$	2021-09-07 11:03:19.692176	2021-09-07 11:03:19.754671	Afternoon
$	2021-09-07 11:03:20.027115	2021-09-07 11:03:20.028091	Afternoon
$	2021-09-07 11:03:20.325922	2021-09-07 11:03:20.433336	Afternoon
$	2021-09-07 11:03:20.475344	2021-09-07 11:03:20.564238	Afternoon
$	2021-09-07 11:03:20.823973	2021-09-07 11:03:20.906966	Afternoon
$	2021-09-07 11:03:21.002635	2021-09-07 11:03:21.073919	Afternoon
backspace	2021-09-07 11:03:21.455768	2021-09-07 11:03:21.572911	Afternoon
$	2021-09-07 11:03:21.616855	2021-09-07 11:03:21.812188	Afternoon
$	2021-09-07 11:03:21.758448	2021-09-07 11:03:21.882462	Afternoon
space	2021-09-07 11:03:22.007453	2021-09-07 11:03:22.108032	Afternoon
space	2021-09-07 11:03:22.454691	2021-09-07 11:03:22.536719	Afternoon
$	2021-09-07 11:03:22.898027	2021-09-07 11:03:23.017155	Afternoon
$	2021-09-07 11:03:23.217338	2021-09-07 11:03:23.288623	Afternoon
$	2021-09-07 11:03:23.398038	2021-09-07 11:03:23.451697	Afternoon
space	2021-09-07 11:03:23.652855	2021-09-07 11:03:23.735860	Afternoon
$	2021-09-07 11:03:24.091305	2021-09-07 11:03:24.180214	Afternoon
$	2021-09-07 11:03:24.282698	2021-09-07 11:03:24.349106	Afternoon
$	2021-09-07 11:03:24.463354	2021-09-07 11:03:24.558071	Afternoon
space	2021-09-07 11:03:24.641112	2021-09-07 11:03:24.705523	Afternoon
$	2021-09-07 11:03:25.064874	2021-09-07 11:03:25.170336	Afternoon
$	2021-09-07 11:03:25.267012	2021-09-07 11:03:25.356850	Afternoon
$	2021-09-07 11:03:25.584376	2021-09-07 11:03:25.655657	Afternoon
$	2021-09-07 11:03:25.685929	2021-09-07 11:03:25.816781	Afternoon
